na_acc,na_loss,rt_loss,log,id,backbone
0.7641584158415842,0.6732090845674571,1.086946048311668,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.8017821782178218,0.6386118562386768,1.244820931925632,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.8025742574257426,0.6296043077789911,0.9823453929636738,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.787920792079208,0.6658732817904784,1.0166371524924098,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.7865346534653466,0.6814757429727233,0.8705575680024553,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.7742574257425743,0.6515768787176303,1.16977104578868,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.8134653465346534,0.5778421669195194,1.1304650532373108,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.7633663366336634,0.6333581094694609,0.9947937057514001,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.7946534653465347,0.6298861063352906,1.2574932238607124,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.755049504950495,0.7831414815222862,1.2003012346985316,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.6407920792079208,1.46187920938624,1.230423843648174,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.8516831683168317,0.49060643322396985,1.1988461967978148,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.7827722772277228,0.6168131226832324,1.1129420029290833,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.766930693069307,0.6763994748993676,0.8920407016678612,BPI20PrepaidTravelCosts,m7gb7de5,qwen25-05b
0.8253089049850874,0.5986182095398027,0.6578877582382096,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7463428490271268,0.5887445335512794,0.667393256581451,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.786109927567107,0.5068135715956512,0.6632961369495367,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7746058798466127,0.49661554272346514,0.6692231074938498,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7895185342991052,0.49248088603161255,0.7699087354341465,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.8086919471665956,0.46030845772117873,0.6462885697208638,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7812810680301093,0.4871589813427464,0.6497085230913611,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7403777872461298,0.5442882041297266,0.6599630872696371,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7878142309331061,0.4937251831485947,0.6783306537374078,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7862519528476068,0.4875362740543616,0.6475991977241429,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7618236046016191,0.5410452447075038,0.6595081791351539,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.737963357477631,0.6012355465557812,0.6687600104041168,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7808549921886095,0.4981116815108397,0.7003145934065504,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7731856270416134,0.5229390718232263,0.7172063984767294,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7754580315296122,0.5327717632482784,0.7278627056473443,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.7452066467831274,0.5687822191032255,0.7046332119574789,BPI20RequestForPayment,t4gtuqst,llama32-1b
0.6898167873881551,1.0114596786358159,0.8374080343724584,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.804005112910098,0.6959781071083601,0.7526769178222821,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
0.8165033375940918,0.5896297510908571,0.7410478674540921,BPI20RequestForPayment,uf6xjoj8,qwen25-05b
